id,fecha,genero,edad,estado_civil,ubicacion,orientacion_politica,videojuegos,series_tv,sexo,animales,religion,otros,politica,clasicos,educacion,musica
1,23/11/2019 22:11:25,Hombre,22,Solter@,Pueblo,No tengo,0,0,0,1,1,0,0,0,0,0
2,23/11/2019 22:12:00,Mujer,23,Solter@,Pueblo,Centro,1,0,0,0,1,0,0,0,0,0
3,23/11/2019 22:13:22,Mujer,21,Solter@,Ciudad,Derecha,0,0,1,0,0,0,1,0,1,0
4,23/11/2019 22:14:53,Hombre,23,Solter@,Pueblo,Centro,1,1,1,1,1,1,1,0,0,0
5,23/11/2019 22:15:55,Hombre,23,Solter@,Pueblo,Izquierda,0,1,1,0,0,1,1,0,0,0
6,23/11/2019 22:21:30,Hombre,23,Solter@,Ciudad,Derecha,1,1,1,1,1,1,1,1,1,1
7,23/11/2019 22:21:50,Hombre,23,Solter@,Pueblo,Izquierda,0,0,0,0,1,0,0,1,0,0
8,23/11/2019 22:32:13,Mujer,21,Solter@,Ciudad,Centro,0,0,0,0,0,1,0,0,0,0
9,23/11/2019 22:36:43,Hombre,20,Unión Libre,Pueblo,Derecha,0,0,0,0,0,1,0,0,0,0
10,23/11/2019 23:11:50,Mujer,24,Solter@,Pueblo,Derecha,0,0,0,0,0,0,0,0,1,0
11,23/11/2019 23:22:34,Hombre,24,Unión Libre,Ciudad,Centro,0,0,1,0,1,0,1,0,0,0
12,24/11/2019 2:45:07,Hombre,21,Solter@,Ciudad,Izquierda,0,0,0,0,0,0,0,0,1,0
13,24/11/2019 2:45:52,Hombre,21,Solter@,Ciudad,Izquierda,0,0,0,0,0,0,0,0,1,0
14,24/11/2019 9:01:48,Hombre,23,Solter@,Pueblo,Centro,0,1,1,0,1,0,0,0,0,0
15,24/11/2019 9:11:21,Hombre,23,Solter@,Pueblo,Izquierda,1,1,0,0,0,0,1,0,0,0
16,24/11/2019 16:23:43,Hombre,23,Solter@,Pueblo,Derecha,1,0,0,0,0,0,0,0,1,0
17,24/11/2019 18:57:19,Hombre,38,Casad@,Pueblo,Centro,0,0,1,1,0,1,0,1,0,0
18,24/11/2019 19:14:21,Mujer,39,Solter@,Ciudad,Centro,0,0,0,1,0,0,0,0,0,0
19,24/11/2019 19:15:00,Mujer,43,Solter@,Pueblo,Centro,0,0,0,0,0,0,1,0,0,0
20,24/11/2019 19:24:02,Mujer,34,Solter@,Ciudad,Centro,0,0,0,0,0,1,0,0,1,0
21,24/11/2019 20:16:22,Mujer,23,Solter@,Ciudad,Centro,0,0,0,0,0,1,0,0,0,0
22,24/11/2019 22:33:40,Mujer,45,Solter@,Ciudad,Ninguna,0,0,0,0,0,0,0,0,1,0
23,24/11/2019 22:38:46,Mujer,59,Casad@,Ciudad,Derecha,0,0,0,0,0,0,0,0,0,0
24,25/11/2019 9:29:22,Mujer,22,Solter@,Ciudad,Centro,0,0,0,0,0,1,1,0,1,0
25,25/11/2019 9:33:36,Hombre,22,Solter@,Ciudad,Centro,0,1,0,1,0,0,0,0,1,0
26,25/11/2019 9:33:39,Mujer,50,Casad@,Ciudad,Centro,0,1,0,0,0,0,0,0,0,0
27,25/11/2019 9:33:46,Mujer,22,Solter@,Pueblo,Centro,0,1,1,0,1,1,1,0,1,1
28,25/11/2019 9:34:14,Mujer,21,Solter@,Ciudad,Izquierda,0,1,0,0,0,0,1,0,0,0
29,25/11/2019 9:34:24,Mujer,19,Solter@,Ciudad,Centro,1,1,0,0,0,0,0,1,1,0
30,25/11/2019 9:34:50,Mujer,24,Solter@,Pueblo,Izquierda,0,0,1,0,0,0,1,0,0,0
31,25/11/2019 9:34:58,Mujer,21,Solter@,Pueblo,Derecha,0,0,0,1,0,1,1,0,1,0
32,25/11/2019 9:36:15,Hombre,32,Solter@,Ciudad,Centro-izquierda,0,0,1,1,1,0,1,0,1,0
33,25/11/2019 9:36:49,Mujer,23,Solter@,Ciudad,Centro,0,0,1,0,0,1,0,1,1,1
34,25/11/2019 9:37:54,Mujer,28,Solter@,Ciudad,Centro,0,1,0,0,0,0,0,0,0,1
35,25/11/2019 9:39:24,Mujer,23,Solter@,Ciudad,Centro,0,0,1,1,0,1,1,1,1,0
36,25/11/2019 9:40:00,Mujer,14,Solter@,Pueblo,Centro,0,0,0,0,0,0,1,0,0,0
37,25/11/2019 9:41:41,Mujer,22,Solter@,Pueblo,Centro,0,0,0,0,1,1,0,1,1,0
38,25/11/2019 9:46:34,Hombre,25,Solter@,Ciudad,Centro,1,1,0,0,0,1,0,1,1,0
39,25/11/2019 9:47:16,Mujer,22,Unión Libre,Ciudad,Centro,1,1,0,0,1,1,1,0,1,0
40,25/11/2019 9:48:45,Mujer,23,Solter@,Pueblo,Derecha,0,1,0,0,0,0,0,0,1,0
41,25/11/2019 9:49:07,Mujer,18,Solter@,Pueblo,Ninguna,0,1,0,0,0,1,0,1,1,0
